"EN675	2022-01-11T00:00:00.0000000	2022-01-15T00:00:00.0000000"
"EN676	2021-06-12T00:00:00.0000000	2021-06-12T00:00:00.0000000"
"EN677	2021-07-16T00:00:00.0000000	2021-07-16T00:00:00.0000000"
"EN678	2021-08-03T00:00:00.0000000	2021-08-03T00:00:00.0000000"
"EN679	2021-08-21T00:00:00.0000000	2021-08-21T00:00:00.0000000"
"EN680	2021-08-26T00:00:00.0000000	2021-08-26T00:00:00.0000000"
"EN681	2021-10-01T00:00:00.0000000	2021-10-01T00:00:00.0000000"
"EN682		"
"EN683		"
"EN684		"
"EN685		"
"EN686		"
"EN687		"
"EN688		"
"EN689		"
"EN690		"
"EN691		"
"EN692		"
"EN693		"
"EN694		"
"EN695		"
"EN696		"
"EN697		"
"EN698		"
"EN699		"
"EN700		"
"EN701		"
"EN702		"
"EN703		"
"EN704		"
"EN705		"
"EN706		"
"EN707		"
"EN708		"
"EN709		"
"EN710		"
"EN711		"
"EN712		"
"EN713		"
"EN714		"
